segment;point;x;y;vStop;vFlow;attributes;aSteering;aHeading;label;version
1;0;-5500;500;1000;700;0x00000001;0;0;;
1;1;-5400;500;1000;700;0x00000000;0;0;;
1;2;-5300;500;900;700;0x00000000;0;0;;
1;3;-5200;500;800;700;0x00000000;0;0;;
1;4;-5100;500;700;700;0x00000000;0;0;;
1;5;-5000;500;600;700;0x00000000;0;0;;
1;6;-4900;500;500;700;0x00000000;0;0;;
1;7;-4800;500;400;700;0x00000000;0;0;;
1;8;-4700;500;300;700;0x00000000;0;0;;
1;9;-4600;500;200;700;0x00000000;0;0;;
1;10;-4500;500;100;700;0x00000002;0;0;;
2;0;-4500;500;1000;700;0x00000001;0;0;;
2;1;-4400;500;1000;700;0x00000000;0;0;;
2;2;-4300;500;900;700;0x00000000;0;0;;
2;3;-4200;500;800;700;0x00000000;0;0;;
2;4;-4100;500;700;700;0x00000000;0;0;;
2;5;-4000;500;600;700;0x00000000;0;0;;
2;6;-3900;500;500;700;0x00000000;0;0;;
2;7;-3800;500;400;700;0x00000000;0;0;;
2;8;-3700;500;300;700;0x00000000;0;0;;
2;9;-3600;500;200;700;0x00000000;0;0;;
2;10;-3500;500;100;700;0x00000002;0;0;;
3;0;-2000;500;1000;700;0x00000001;0;0;;
3;1;-1900;500;1000;700;0x00000000;0;0;;
3;2;-1801;500;1000;700;0x00000000;0;0;;
3;3;-1701;500;1000;700;0x00000000;0;0;;
3;4;-1600;500;1000;700;0x00000000;0;0;;
3;5;-1501;500;1000;700;0x00000000;0;0;;
3;6;-1401;500;1000;700;0x00000000;0;0;;
3;7;-1301;500;900;700;0x00000000;0;0;;
3;8;-1201;500;800;700;0x00000000;0;0;;
3;9;-1101;500;700;700;0x00000000;0;0;;
3;10;-1001;500;600;700;0x00000000;0;0;;
3;11;-901;500;500;700;0x00000000;0;0;;
3;12;-802;500;400;700;0x00000000;0;0;;
3;13;-702;500;300;700;0x00000000;0;0;;
3;14;-602;500;200;700;0x00000000;0;0;;
3;15;-500;500;100;700;0x00000002;0;0;;
4;0;-500;500;1000;180;0x40060001;0;0;;
4;1;-400;500;1000;180;0x40060000;0;0;;
4;2;-301;500;1000;180;0x40060000;0;0;;
4;3;-201;500;1000;180;0x40060000;0;0;;
4;4;-100;500;1000;180;0x40060000;0;0;;
4;5;-1;500;1000;180;0x40060000;0;0;;
4;6;99;500;1000;180;0x40060000;0;0;;
4;7;199;500;900;180;0x40060000;0;0;;
4;8;299;500;800;180;0x40060000;0;0;;
4;9;399;500;700;180;0x40060000;0;0;;
4;10;499;500;600;180;0x40060000;0;0;;
4;11;599;500;500;180;0x40060000;0;0;;
4;12;698;500;400;180;0x40060000;0;0;;
4;13;798;500;300;180;0x40060000;0;0;;
4;14;898;500;200;180;0x40060000;0;0;;
4;15;1000;500;100;180;0x40060002;0;0;;
5;0;1000;500;1000;180;0x40060001;0;0;;
5;1;1100;500;1000;180;0x40060000;0;0;;
5;2;1199;500;1000;180;0x40060000;0;0;;
5;3;1299;500;1000;180;0x40060000;0;0;;
5;4;1400;500;1000;180;0x40060000;0;0;;
5;5;1499;500;1000;180;0x40060000;0;0;;
5;6;1599;500;1000;180;0x40060000;0;0;;
5;7;1699;500;900;180;0x40060000;0;0;;
5;8;1799;500;800;180;0x40060000;0;0;;
5;9;1899;500;700;180;0x40060000;0;0;;
5;10;1999;500;600;180;0x40060000;0;0;;
5;11;2099;500;500;180;0x40060000;0;0;;
5;12;2198;500;400;180;0x40060000;0;0;;
5;13;2298;500;300;180;0x40060000;0;0;;
5;14;2398;500;200;180;0x40060000;0;0;;
5;15;2500;500;100;180;0x40060002;0;0;;
6;0;2500;500;600;180;0x40064001;0;9000;;
6;1;2500;599;500;180;0x40060000;0;9000;;
6;2;2500;699;400;180;0x40060000;0;9000;;
6;3;2500;799;300;180;0x40060000;0;9000;;
6;4;2500;899;200;180;0x40060000;0;9000;;
6;5;2500;1000;100;180;0x40060002;0;9000;;
7;0;2500;1000;600;180;0x40060001;0;9000;;
7;1;2500;1099;500;180;0x40060000;0;9000;;
7;2;2500;1199;400;180;0x40060000;0;9000;;
7;3;2500;1299;300;180;0x40060000;0;9000;;
7;4;2500;1399;200;180;0x40060000;0;9000;;
7;5;2500;1500;100;180;0x40060002;0;9000;;
8;0;2500;1500;600;180;0x40060001;0;9000;;
8;1;2500;1599;500;180;0x40060000;0;9000;;
8;2;2500;1699;400;180;0x40060000;0;9000;;
8;3;2500;1799;300;180;0x40060000;0;9000;;
8;4;2500;1899;200;180;0x40060000;0;9000;;
8;5;2500;2000;100;180;0x40060002;0;9000;;
9;0;2500;2000;600;180;0x40060001;0;9000;;
9;1;2500;2099;500;180;0x40060000;0;9000;;
9;2;2500;2199;400;180;0x40060000;0;9000;;
9;3;2500;2299;300;180;0x40060000;0;9000;;
9;4;2500;2399;200;180;0x40060000;0;9000;;
9;5;2500;2500;100;180;0x40060002;0;9000;;
10;0;2500;2500;600;180;0x40060001;0;9000;;
10;1;2500;2599;500;180;0x40060000;0;9000;;
10;2;2500;2699;400;180;0x40060000;0;9000;;
10;3;2500;2799;300;180;0x40060000;0;9000;;
10;4;2500;2899;200;180;0x40060000;0;9000;;
10;5;2500;3000;100;180;0x40060002;0;9000;;
11;0;1000;500;600;180;0x40064001;0;9000;;
11;1;1000;599;500;180;0x40060000;0;9000;;
11;2;1000;699;400;180;0x40060000;0;9000;;
11;3;1000;799;300;180;0x40060000;0;9000;;
11;4;1000;899;200;180;0x40060000;0;9000;;
11;5;1000;1000;100;180;0x40060002;0;9000;;
12;0;1000;1000;600;180;0x40060001;0;9000;;
12;1;1000;1099;500;180;0x40060000;0;9000;;
12;2;1000;1199;400;180;0x40060000;0;9000;;
12;3;1000;1299;300;180;0x40060000;0;9000;;
12;4;1000;1399;200;180;0x40060000;0;9000;;
12;5;1000;1500;100;180;0x40060002;0;9000;;
13;0;1000;1500;600;180;0x40060001;0;9000;;
13;1;1000;1599;500;180;0x40060000;0;9000;;
13;2;1000;1699;400;180;0x40060000;0;9000;;
13;3;1000;1799;300;180;0x40060000;0;9000;;
13;4;1000;1899;200;180;0x40060000;0;9000;;
13;5;1000;2000;100;180;0x40060002;0;9000;;
14;0;1000;2000;600;180;0x40060001;0;9000;;
14;1;1000;2099;500;180;0x40060000;0;9000;;
14;2;1000;2199;400;180;0x40060000;0;9000;;
14;3;1000;2299;300;180;0x40060000;0;9000;;
14;4;1000;2399;200;180;0x40060000;0;9000;;
14;5;1000;2500;100;180;0x40060002;0;9000;;
15;0;1000;2500;600;180;0x40060001;0;9000;;
15;1;1000;2599;500;180;0x40060000;0;9000;;
15;2;1000;2699;400;180;0x40060000;0;9000;;
15;3;1000;2799;300;180;0x40060000;0;9000;;
15;4;1000;2899;200;180;0x40060000;0;9000;;
15;5;1000;3000;100;180;0x40060002;0;9000;;
16;0;-500;500;600;180;0x40064001;0;9000;;
16;1;-500;599;500;180;0x40060000;0;9000;;
16;2;-500;699;400;180;0x40060000;0;9000;;
16;3;-500;799;300;180;0x40060000;0;9000;;
16;4;-500;899;200;180;0x40060000;0;9000;;
16;5;-500;1000;100;180;0x40060002;0;9000;;
17;0;-500;1000;600;180;0x40060001;0;9000;;
17;1;-500;1099;500;180;0x40060000;0;9000;;
17;2;-500;1199;400;180;0x40060000;0;9000;;
17;3;-500;1299;300;180;0x40060000;0;9000;;
17;4;-500;1399;200;180;0x40060000;0;9000;;
17;5;-500;1500;100;180;0x40060002;0;9000;;
18;0;-500;1500;600;180;0x40060001;0;9000;;
18;1;-500;1599;500;180;0x40060000;0;9000;;
18;2;-500;1699;400;180;0x40060000;0;9000;;
18;3;-500;1799;300;180;0x40060000;0;9000;;
18;4;-500;1899;200;180;0x40060000;0;9000;;
18;5;-500;2000;100;180;0x40060002;0;9000;;
19;0;-500;2000;600;180;0x40060001;0;9000;;
19;1;-500;2099;500;180;0x40060000;0;9000;;
19;2;-500;2199;400;180;0x40060000;0;9000;;
19;3;-500;2299;300;180;0x40060000;0;9000;;
19;4;-500;2399;200;180;0x40060000;0;9000;;
19;5;-500;2500;100;180;0x40060002;0;9000;;
20;0;-500;2500;600;180;0x40060001;0;9000;;
20;1;-500;2599;500;180;0x40060000;0;9000;;
20;2;-500;2699;400;180;0x40060000;0;9000;;
20;3;-500;2799;300;180;0x40060000;0;9000;;
20;4;-500;2899;200;180;0x40060000;0;9000;;
20;5;-500;3000;100;180;0x40060002;0;9000;;
21;0;2500;3000;1000;180;0x40064001;0;18000;;
21;1;2400;3000;1000;180;0x40060000;0;18000;;
21;2;2301;3000;1000;180;0x40060000;0;18000;;
21;3;2201;3000;1000;180;0x40060000;0;18000;;
21;4;2100;3000;1000;180;0x40060000;0;18000;;
21;5;2001;3000;1000;180;0x40060000;0;18000;;
21;6;1901;3000;1000;180;0x40060000;0;18000;;
21;7;1801;3000;900;180;0x40060000;0;18000;;
21;8;1701;3000;800;180;0x40060000;0;18000;;
21;9;1601;3000;700;180;0x40060000;0;18000;;
21;10;1501;3000;600;180;0x40060000;0;18000;;
21;11;1401;3000;500;180;0x40060000;0;18000;;
21;12;1302;3000;400;180;0x40060000;0;18000;;
21;13;1202;3000;300;180;0x40060000;0;18000;;
21;14;1102;3000;200;180;0x40060000;0;18000;;
21;15;1000;3000;100;180;0x40060002;0;18000;;
22;0;1000;3000;1000;180;0x40064001;0;18000;;
22;1;900;3000;1000;180;0x40060000;0;18000;;
22;2;801;3000;1000;180;0x40060000;0;18000;;
22;3;701;3000;1000;180;0x40060000;0;18000;;
22;4;600;3000;1000;180;0x40060000;0;18000;;
22;5;501;3000;1000;180;0x40060000;0;18000;;
22;6;401;3000;1000;180;0x40060000;0;18000;;
22;7;301;3000;900;180;0x40060000;0;18000;;
22;8;201;3000;800;180;0x40060000;0;18000;;
22;9;101;3000;700;180;0x40060000;0;18000;;
22;10;1;3000;600;180;0x40060000;0;18000;;
22;11;-99;3000;500;180;0x40060000;0;18000;;
22;12;-198;3000;400;180;0x40060000;0;18000;;
22;13;-298;3000;300;180;0x40060000;0;18000;;
22;14;-398;3000;200;180;0x40060000;0;18000;;
22;15;-500;3000;100;180;0x40060002;0;18000;;
23;0;-500;3000;600;700;0x00004001;0;18000;;
23;1;-600;3000;500;700;0x00000000;0;18000;;
23;2;-699;3000;400;700;0x00000000;0;18000;;
23;3;-799;3000;300;700;0x00000000;0;18000;;
23;4;-898;3000;200;700;0x00000000;0;18000;;
23;5;-1000;3000;100;700;0x00000002;0;18000;;
24;0;-1000;3000;1000;700;0x00000001;0;17884;;
24;1;-1099;3002;1000;700;0x00000000;0;17769;;
24;2;-1198;3008;1000;700;0x00000000;0;17536;;
24;3;-1296;3018;1000;700;0x00000000;0;17273;;
24;4;-1394;3033;1000;700;0x00000000;0;16982;;
24;5;-1491;3053;1000;700;0x00000000;0;16659;;
24;6;-1587;3079;1000;700;0x00000000;0;16330;;
24;7;-1681;3110;1000;700;0x00000000;0;16019;;
24;8;-1773;3146;1000;700;0x00000000;0;15771;;
24;9;-1864;3185;1000;700;0x00000000;0;15563;;
24;10;-1954;3228;1000;700;0x00000000;0;15446;;
24;11;-2044;3271;1000;700;0x00000000;0;15446;;
24;12;-2134;3314;1000;700;0x00000000;0;15563;;
24;13;-2225;3353;900;700;0x00000000;0;15771;;
24;14;-2317;3389;800;700;0x00000000;0;15992;;
24;15;-2411;3421;700;700;0x00000000;0;16302;;
24;16;-2507;3447;600;700;0x00000000;0;16666;;
24;17;-2605;3467;500;700;0x00000000;0;16982;;
24;18;-2702;3482;400;700;0x00000000;0;17277;;
24;19;-2802;3492;300;700;0x00000000;0;17540;;
24;20;-2901;3498;200;700;0x00000000;0;17769;;
24;21;-3000;3500;100;700;0x00000002;0;17884;;
25;0;-3000;3500;600;700;0x00000001;0;18000;;
25;1;-3100;3500;500;700;0x00000000;0;18000;;
25;2;-3199;3500;400;700;0x00000000;0;18000;;
25;3;-3299;3500;300;700;0x00000000;0;18000;;
25;4;-3398;3500;200;700;0x00000000;0;18000;;
25;5;-3500;3500;100;700;0x00000002;0;18000;;
26;0;-9500;2500;600;180;0x40060001;0;27000;;
26;1;-9500;2401;500;180;0x40060000;0;27000;;
26;2;-9500;2301;400;180;0x40060000;0;27000;;
26;3;-9500;2201;300;180;0x40060000;0;27000;;
26;4;-9500;2101;200;180;0x40060000;0;27000;;
26;5;-9500;2000;100;180;0x40060002;0;27000;;
27;0;-9500;2000;600;180;0x40060001;0;27000;;
27;1;-9500;1900;500;180;0x40060000;0;27000;;
27;2;-9500;1801;400;180;0x40060000;0;27000;;
27;3;-9500;1701;300;180;0x40060000;0;27000;;
27;4;-9500;1602;200;180;0x40060000;0;27000;;
27;5;-9500;1500;100;180;0x40060002;0;27000;;
28;0;-8500;2500;600;180;0x40060001;0;27000;;
28;1;-8500;2401;500;180;0x40060000;0;27000;;
28;2;-8500;2301;400;180;0x40060000;0;27000;;
28;3;-8500;2201;300;180;0x40060000;0;27000;;
28;4;-8500;2101;200;180;0x40060000;0;27000;;
28;5;-8500;2000;100;180;0x40060002;0;27000;;
29;0;-8500;2000;600;180;0x40060001;0;27000;;
29;1;-8500;1901;500;180;0x40060000;0;27000;;
29;2;-8500;1801;400;180;0x40060000;0;27000;;
29;3;-8500;1701;300;180;0x40060000;0;27000;;
29;4;-8500;1601;200;180;0x40060000;0;27000;;
29;5;-8500;1500;100;180;0x40060002;0;27000;;
30;0;-7000;3500;600;400;0x00000001;0;18000;;
30;1;-7099;3500;500;400;0x00000000;0;18000;;
30;2;-7199;3500;400;400;0x00000000;0;18000;;
30;3;-7299;3500;300;400;0x00000000;0;18000;;
30;4;-7399;3500;200;400;0x00000000;0;18000;;
30;5;-7500;3500;100;400;0x00000002;0;18000;;
31;0;-7500;3500;600;400;0x00000001;0;18000;;
31;1;-7599;3500;500;400;0x00000000;0;18000;;
31;2;-7699;3500;400;400;0x00000000;0;18000;;
31;3;-7799;3500;300;400;0x00000000;0;18000;;
31;4;-7899;3500;200;400;0x00000000;0;18000;;
31;5;-8000;3500;100;400;0x00000002;0;18000;;
32;0;-8000;3500;600;400;0x00000001;0;18000;;
32;1;-8099;3500;500;400;0x00000000;0;18000;;
32;2;-8199;3500;400;400;0x00000000;0;18000;;
32;3;-8299;3500;300;400;0x00000000;0;18000;;
32;4;-8399;3500;200;400;0x00000000;0;18000;;
32;5;-8500;3500;100;400;0x00000002;0;18000;;
33;0;-8500;3500;1000;180;0x40060001;0;18000;;
33;1;-8601;3500;1000;180;0x40060000;0;18000;;
33;2;-8701;3500;900;180;0x40060000;0;18000;;
